file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_www.newsland.ru_bd7d1f16cb84b2d48e25b3267cb90003d126ac55d3edded12edc4a84	16.98	9.33	94.48	50.00	38.10	72.73	325	3159	19	8	13	3
20120106_www.newsru.com_7acb8f34117eb77ac8b38d5a12bd86805f38657dc468f3c9e2f8ead8	13.51	7.31	88.89	63.16	66.67	60.00	280	3549	35	6	3	4
20120117_www.pr.ua_c7667f1e20086a484b35ddc27b70d4dbc0fd1ec238dddce3ad8104ea	37.68	23.57	93.94	0.00	0.00	0.00	791	2565	51	0	40	12
20111209_life.comments.ua_413445fcf5fda9b6746c9c34097c7995ec2b801d4d5d87762b8d5263	6.88	3.58	87.57	22.22	25.00	20.00	162	4365	23	1	3	4
20120117_www.aif.ru_5d224cab8e1ac20fc930d6d91078bb50cfd5305de854f58319a4c578	2.18	1.13	29.18	12.00	7.14	37.50	68	5939	165	3	39	5
20120117_www.aif.ru_ea29c469ec4c897bc00b0ce55763e97f3a54140a67185148ad734f32	2.45	1.24	82.95	25.00	14.63	85.71	73	5795	15	6	35	1
20120106_www.baikal-daily.ru_6910489e94427c1266f98aeca463a626f6f021962f27c14a9e01a3fc	10.19	5.40	90.08	0.00	0.00	0.00	318	5572	35	0	1	11
20120117_www.interfax-russia.ru_670981487d96852f39d08106a592133b64334e66abd0d562343ff313	9.30	4.91	88.28	54.55	75.00	42.86	128	2481	17	3	1	4
20120106_www.regnum.ru_30f1d0887d420e9e7632a8d76374ca3a37a01171affb1dc0c778783a	6.80	3.56	74.16	42.86	33.33	60.00	132	3571	46	3	6	2
20111209_mignews.com.ua_8136e68b329da9d717135f04cebc055074902a64563fc7ba12b5973a	8.82	4.65	85.25	61.54	50.00	80.00	156	3199	27	4	4	1
20111128_medportal.ru_5373dbb4efcf35c8e37ec4bb2acffbc1138e77d16d7f37bf40b7c967	14.22	7.74	87.19	31.25	19.23	83.33	177	2109	26	5	21	1
20120106_www.ria.ru_a5982ac8ba021466bd041955944d490b434084b4eb9b8736f9f594e0	8.25	4.38	71.52	23.81	17.24	38.46	319	6967	127	5	24	8
20120106_www.newsru.com_1a91a63e0072a3c2afba0eda3d830e458319c5849a3318af3066c419	25.98	15.06	94.68	82.35	87.50	77.78	587	3311	33	14	2	4
20120106_rus.ruvr.ru_af4fbf485bcc6a1679a23de857b2c1fced9fd1707cd13dbf38fd50e6	4.34	2.22	85.11	6.45	3.85	20.00	160	7032	28	1	25	4
20120117_top.rbc.ru_59910528942418ed94703b750a97876172bb51c6ca1c932e49fd65d0	14.85	8.04	97.05	72.73	66.67	80.00	427	4883	13	8	4	2
20120106_www.interfax.ru_355ba0d6cad5b55f60035c44bba3125d27faabe8e0fc232d024bfb4c	16.20	8.84	96.38	61.54	47.06	88.89	479	4939	18	8	9	1
20120106_www.newsru.com_ad086f34fd28d9c4e33cd4cc7c45200b406f465c6c99e0c6c03effc5	18.95	10.57	91.88	60.00	66.67	54.55	396	3352	35	6	3	5
20120117_www.pravda.ru_68888a68fa69fd0df677b92c50edce4f8d60e4dc4345546c908fedc8	8.70	4.58	87.76	0.00	0.00	0.00	172	3585	24	0	8	6
20120106_www.regnum.ru_d30724a07b0fb4f96a7f697425bd0f7e677342e983266d1690baee83	9.59	5.12	76.25	40.00	33.33	50.00	199	3690	62	3	6	3
20120106_www.rbc.ru_9de3f8c98565dbf813e1dc0ee7fe858058b486556e7632b7ae132691	15.52	8.74	69.37	0.00	0.00	0.00	394	4116	174	0	5	13
20111209_www.medicinform.net_385707b66bcc2eff8c627aa2c253de8023b356153ca318b57eca95ba	16.77	9.34	81.68	54.55	42.86	75.00	107	1038	24	3	4	1
20120117_www.tverlife.ru_931381a532cd08822c0b77d1ebf260b748bebc663b20cb85a73a7fd8	16.83	9.23	95.24	22.22	12.82	83.33	200	1967	10	5	34	1
20120106_www.vz.ru_0ed565e7b29814b0a7aa0e0cbb19f161ac17d063f7543dcb96939db3	7.65	4.02	81.25	30.77	28.57	33.33	169	4040	39	2	5	4
20120106_www.bbc.co.uk_0cff067af40961c028bfc292ccdcc29a984a6b692389e53b1dc96445	4.34	2.24	71.79	36.36	33.33	40.00	84	3669	33	2	4	3
20120106_www.regnum.ru_698ed2763766604d29a5d7cd114dcc5267a1de255f7ea6274a8f3ab0	14.30	7.80	85.63	50.00	40.00	66.67	298	3522	50	4	6	2
20111209_podrobnosti.ua_3c23469ada46556111db75f2bbf6b5c8d4ecd3c2d493cf50c02ae210	8.35	4.39	84.88	0.00	0.00	0.00	174	3791	31	0	7	5
20111128_www.novopol.ru_8bd7bb61aff1884e017871c981eb9ea01120a132627812a305c8b4b3	14.08	7.69	83.15	85.71	100.00	75.00	153	1837	31	6	0	2
20120106_podrobnosti.ua_ffd2d278eebbe5c243770afb049d2093e442f848a7ad58bb3f708cab	3.78	1.94	75.44	30.77	25.00	40.00	86	4354	28	2	6	3
20111128_www.1tv.ru_ffa20a7466a435c581a121aa817318144e71e83a49aac0307d016bad	13.45	7.27	89.80	45.45	32.26	76.92	414	5282	47	10	21	3
20120117_www.zabinfo.ru_a8e761fd4d1b7c2c194fa2771f16fed53ebff860edcf42a1ab46ee69	11.61	6.21	89.58	28.57	100.00	16.67	172	2599	20	1	0	5
20120106_vesti.kz_30d73cd8a4eb70ae8086f88ceff9fb842ae001cfecb076334b347e13	3.46	1.77	81.16	0.00	0.00	0.00	112	6229	26	0	0	4
20111209_www.unian.net_f6f26b11bb27fc071a97c6ebbba34c941b23a6d9a413fcbacdee6e42	8.55	4.49	86.93	0.00	0.00	0.00	173	3676	26	0	9	6
